Gene	Direction
TICAM1	AllGene
TIGD3	AllGene
TIGD5	AllGene
TLE2	AllGene
TMEM109	AllGene
TMEM132E	AllGene
TMEM200B	AllGene
TMEM55A	AllGene
TMEM81	AllGene
TMOD1	AllGene
TMPPE	AllGene
TNIP1	AllGene
TRAF7	AllGene
TRIM25	AllGene
TSC22D3	AllGene
TTC39B	AllGene
TTI1	AllGene
UBAP1	AllGene
UBE3B	AllGene
UBXN10	AllGene
UHRF1BP1	AllGene
UPP1	AllGene
USF2	AllGene
USP28	AllGene
USP45	AllGene
VAMP1	AllGene
WDR33	AllGene
XKR6	AllGene
ZADH2	AllGene
ZBTB16	AllGene
ZBTB21	AllGene
ZBTB34	AllGene
ZBTB38	AllGene
ZBTB43	AllGene
ZC3H7B	AllGene
ZDHHC5	AllGene
ZKSCAN5	AllGene
ZNF304	AllGene
ZNF324	AllGene
ZNF398	AllGene
ZNF574	AllGene
ZNF597	AllGene
ZNF641	AllGene
ZNF740	AllGene
ZNF805	AllGene
ZNFX1	AllGene
ZSWIM1	AllGene
ZYX	AllGene
AARS	TopRsq
AMIGO2	TopRsq
ANKH	TopRsq
ANKRD6	TopRsq
ATG16L1	TopRsq
AVPI1	TopRsq
BAG5	TopRsq
C18orf25	TopRsq
CACNA1H	TopRsq
CCBE1	TopRsq
CPNE7	TopRsq
CRHR2	TopRsq
DCLRE1A	TopRsq
DPYD	TopRsq
DSEL	TopRsq
ETV6	TopRsq
FAM65B	TopRsq
FMN1	TopRsq
FNDC4	TopRsq
FOXO3	TopRsq
GABRA5	TopRsq
GABRQ	TopRsq
GPR161	TopRsq
HIST1H3A	TopRsq
JADE1	TopRsq
JDP2	TopRsq
KCNAB3	TopRsq
KCNK13	TopRsq
KLF9	TopRsq
LMO3	TopRsq
LUZP1	TopRsq
MAPK15	TopRsq
MMD	TopRsq
MPP1	TopRsq
MTCL1	TopRsq
NR3C1	TopRsq
OSBPL6	TopRsq
PCDH20	TopRsq
PGRMC1	TopRsq
PIK3CA	TopRsq
PLPPR3	TopRsq
PLXDC1	TopRsq
PVALB	TopRsq
RAB37	TopRsq
SCN1B	TopRsq
SCN7A	TopRsq
SCN9A	TopRsq
SCRT1	TopRsq
SCRT2	TopRsq
SEMA6D	TopRsq
SEMA7A	TopRsq
SHD	TopRsq
SKIDA1	TopRsq
STAC2	TopRsq
STARD5	TopRsq
STAT4	TopRsq
STUM	TopRsq
SYT17	TopRsq
TLK1	TopRsq
TMEM263	TopRsq
TNNT1	TopRsq
TTC6	TopRsq
VAMP1	TopRsq
VAT1L	TopRsq
ZADH2	TopRsq
ZCCHC12	TopRsq
ZYX	TopRsq
