Gene	Direction
C18orf25	AllGene
C2orf42	AllGene
C3orf18	AllGene
CAMK2G	AllGene
CAMTA1	AllGene
CCDC136	AllGene
CCDC39	AllGene
CCDC40	AllGene
CD274	AllGene
CDADC1	AllGene
CDS1	AllGene
CERK	AllGene
CFC1	AllGene
CLEC16A	AllGene
CLUAP1	AllGene
CNOT6L	AllGene
COL5A1	AllGene
CREBRF	AllGene
CSDC2	AllGene
CTXN2	AllGene
CYB5R4	AllGene
DCAF1	AllGene
DCBLD2	AllGene
DCLRE1A	AllGene
DCP1A	AllGene
DENND1B	AllGene
DEXI	AllGene
DGCR14	AllGene
DKK1	AllGene
DNAJC16	AllGene
DNAJC4	AllGene
DTX3	AllGene
DUSP5	AllGene
EMILIN3	AllGene
ENTPD4	AllGene
EPRS	AllGene
ESRRA	AllGene
ESRRG	AllGene
EXTL2	AllGene
FAM110A	AllGene
FAM156B	AllGene
FAM208B	AllGene
FAM216A	AllGene
FASTKD5	AllGene
FBLN7	AllGene
FES	AllGene
FGF9	AllGene
FHDC1	AllGene
FMN1	AllGene
FOCAD	AllGene
FRAT1	AllGene
GCHFR	AllGene
GFER	AllGene
GFM1	AllGene
GLCCI1	AllGene
GLTSCR1L	AllGene
GNL1	AllGene
GPR161	AllGene
GRAMD1B	AllGene
GREB1	AllGene
HAPLN4	AllGene
HDAC4	AllGene
HIST1H3A	AllGene
HIST1H3D	AllGene
HS3ST1	AllGene
HSFX1	AllGene
ICA1	AllGene
ICMT	AllGene
IER5	AllGene
IFFO2	AllGene
IFNLR1	AllGene
INPP5A	AllGene
IRS1	AllGene
ITPRIPL1	AllGene
JADE1	AllGene
JDP2	AllGene
JMJD6	AllGene
KCNA1	AllGene
KCNA2	AllGene
KCNAB3	AllGene
KCNC1	AllGene
KCNC3	AllGene
KCNJ11	AllGene
KCNT1	AllGene
KLC2	AllGene
KLF12	AllGene
KLF9	AllGene
KREMEN1	AllGene
KY	AllGene
LACE1	AllGene
LRRC4	AllGene
LRRC43	AllGene
LRRC59	AllGene
LURAP1L	AllGene
LUZP1	AllGene
MAFB	AllGene
MAP3K13	AllGene
MAP4K2	AllGene
MFSD3	AllGene
MGST2	AllGene
MID2	AllGene
MIOS	AllGene
MPP1	AllGene
MPZL3	AllGene
MRGBP	AllGene
MRPL35	AllGene
MTCL1	AllGene
MYOZ3	AllGene
NAAA	AllGene
NCOA3	AllGene
NCR3LG1	AllGene
NEIL1	AllGene
NKX3-1	AllGene
NPPC	AllGene
NR2F6	AllGene
NR3C1	AllGene
NR3C2	AllGene
NSG1	AllGene
NT5M	AllGene
OSBPL6	AllGene
P4HTM	AllGene
PANX2	AllGene
PAPD7	AllGene
PARP3	AllGene
PDIK1L	AllGene
PELI3	AllGene
PHOSPHO1	AllGene
PIK3CA	AllGene
PIK3R3	AllGene
PKD1	AllGene
PLEKHM2	AllGene
PLXDC1	AllGene
POLB	AllGene
PPARGC1B	AllGene
PPT1	AllGene
PPTC7	AllGene
PRDM11	AllGene
PVALB	AllGene
PXYLP1	AllGene
RAB37	AllGene
RANBP2	AllGene
RBBP4	AllGene
RBBP8	AllGene
RELT	AllGene
RET	AllGene
RFX5	AllGene
RGPD4	AllGene
